OrderID,TimestampMin,ItemID,Aisle,Category,AisleLocation
ORDER0016,28.32,ITEM2796,Aisle-5,Groceries,14
ORDER0016,28.32,ITEM3583,Aisle-7,Apparel,20
ORDER0016,28.32,ITEM17334,Aisle-7,Home,20
ORDER0016,28.32,ITEM1298,Aisle-8,Apparel,23
ORDER0016,28.32,ITEM19958,Aisle-17,Apparel,50
ORDER0016,28.32,ITEM13542,Aisle-19,Toys,56
ORDER0017,30.16,ITEM13710,Aisle-14,Apparel,41
ORDER0017,30.16,ITEM3260,Aisle-14,Tools,41
ORDER0017,30.16,ITEM19701,Aisle-15,Home,44
ORDER0018,30.88,ITEM7922,Aisle-9,Groceries,26
ORDER0018,30.88,ITEM7229,Aisle-18,Books,53
ORDER0018,30.88,ITEM14333,Aisle-19,Tools,56
ORDER0019,31.03,ITEM15062,Aisle-3,Books,8
ORDER0019,31.03,ITEM13455,Aisle-9,Apparel,26
ORDER0019,31.03,ITEM2720,Aisle-12,Groceries,35
ORDER0019,31.03,ITEM11902,Aisle-13,Tools,38
ORDER0019,31.03,ITEM17765,Aisle-14,Electronics,41
ORDER0019,31.03,ITEM6932,Aisle-15,Apparel,44
ORDER0019,31.03,ITEM9043,Aisle-16,Groceries,47
ORDER0019,31.03,ITEM14747,Aisle-18,Electronics,53
ORDER0020,31.6,ITEM9076,Aisle-7,Home,20
ORDER0020,31.6,ITEM8155,Aisle-11,Toys,32
ORDER0021,31.71,ITEM12362,Aisle-5,Home,14
ORDER0021,31.71,ITEM10674,Aisle-8,Electronics,23
ORDER0022,33.28,ITEM18094,Aisle-1,Toys,2
ORDER0022,33.28,ITEM9659,Aisle-2,Home,5
ORDER0022,33.28,ITEM12446,Aisle-9,Books,26
ORDER0022,33.28,ITEM7023,Aisle-10,Home,29
ORDER0022,33.28,ITEM14453,Aisle-16,Home,47
ORDER0022,33.28,ITEM2641,Aisle-16,Electronics,47
ORDER0023,37.73,ITEM7391,Aisle-7,Electronics,20
ORDER0023,37.73,ITEM5383,Aisle-13,Tools,38
ORDER0023,37.73,ITEM7008,Aisle-18,Tools,53
ORDER0023,37.73,ITEM1017,Aisle-19,Home,56
ORDER0024,37.99,ITEM5919,Aisle-4,Electronics,11
ORDER0024,37.99,ITEM17946,Aisle-4,Toys,11
ORDER0024,37.99,ITEM2110,Aisle-5,Home,14
ORDER0024,37.99,ITEM7891,Aisle-6,Toys,17
ORDER0024,37.99,ITEM15362,Aisle-14,Apparel,41
ORDER0024,37.99,ITEM5084,Aisle-14,Groceries,41
ORDER0024,37.99,ITEM7773,Aisle-15,Apparel,44
ORDER0024,37.99,ITEM18581,Aisle-16,Books,47
ORDER0025,38.0,ITEM10783,Aisle-2,Groceries,5
ORDER0025,38.0,ITEM16148,Aisle-5,Home,14
ORDER0025,38.0,ITEM3997,Aisle-7,Electronics,20
ORDER0025,38.0,ITEM7484,Aisle-15,Electronics,44
ORDER0025,38.0,ITEM12590,Aisle-18,Electronics,53
ORDER0025,38.0,ITEM3884,Aisle-19,Toys,56
ORDER0025,38.0,ITEM14656,Aisle-19,Books,56
ORDER0026,41.26,ITEM12870,Aisle-2,Electronics,5
ORDER0026,41.26,ITEM11685,Aisle-8,Books,23
ORDER0026,41.26,ITEM19620,Aisle-9,Apparel,26
ORDER0026,41.26,ITEM6326,Aisle-9,Electronics,26
ORDER0026,41.26,ITEM16313,Aisle-9,Electronics,26
ORDER0026,41.26,ITEM18107,Aisle-20,Apparel,59
ORDER0027,43.62,ITEM8880,Aisle-1,Books,2
ORDER0027,43.62,ITEM5055,Aisle-12,Tools,35
ORDER0027,43.62,ITEM19318,Aisle-14,Home,41
ORDER0027,43.62,ITEM11594,Aisle-15,Tools,44
ORDER0027,43.62,ITEM0978,Aisle-16,Books,47
ORDER0027,43.62,ITEM5852,Aisle-16,Toys,47
ORDER0028,53.48,ITEM5016,Aisle-6,Groceries,17
ORDER0028,53.48,ITEM16810,Aisle-19,Groceries,56
ORDER0029,61.39,ITEM16983,Aisle-6,Groceries,17
ORDER0029,61.39,ITEM13476,Aisle-12,Electronics,35
ORDER0029,61.39,ITEM2351,Aisle-14,Groceries,41
ORDER0029,61.39,ITEM5801,Aisle-18,Books,53
ORDER0030,62.34,ITEM16705,Aisle-3,Home,8
ORDER0030,62.34,ITEM19505,Aisle-3,Tools,8
ORDER0030,62.34,ITEM1374,Aisle-17,Groceries,50
ORDER0030,62.34,ITEM11535,Aisle-19,Apparel,56
ORDER0031,71.02,ITEM7557,Aisle-5,Electronics,14
ORDER0031,71.02,ITEM7017,Aisle-8,Home,23
ORDER0031,71.02,ITEM9305,Aisle-8,Apparel,23
ORDER0031,71.02,ITEM8487,Aisle-8,Home,23
ORDER0031,71.02,ITEM10085,Aisle-9,Apparel,26
ORDER0031,71.02,ITEM4973,Aisle-16,Home,47
ORDER0031,71.02,ITEM13085,Aisle-19,Home,56
ORDER0031,71.02,ITEM12443,Aisle-20,Toys,59
ORDER0032,76.39,ITEM13652,Aisle-12,Toys,35
ORDER0032,76.39,ITEM19248,Aisle-16,Toys,47
ORDER0032,76.39,ITEM4032,Aisle-18,Apparel,53
ORDER0032,76.39,ITEM9157,Aisle-19,Home,56
ORDER0033,86.07,ITEM13212,Aisle-5,Tools,14
ORDER0033,86.07,ITEM9937,Aisle-7,Electronics,20
ORDER0034,94.44,ITEM3198,Aisle-2,Electronics,5
ORDER0034,94.44,ITEM16389,Aisle-2,Tools,5
ORDER0034,94.44,ITEM7834,Aisle-5,Home,14
ORDER0034,94.44,ITEM19469,Aisle-7,Books,20
ORDER0034,94.44,ITEM15397,Aisle-17,Toys,50
ORDER0034,94.44,ITEM16106,Aisle-20,Apparel,59
ORDER0035,100.76,ITEM5980,Aisle-4,Electronics,11
ORDER0035,100.76,ITEM15854,Aisle-5,Groceries,14
ORDER0035,100.76,ITEM7637,Aisle-10,Home,29
ORDER0035,100.76,ITEM14458,Aisle-18,Groceries,53
ORDER0036,103.0,ITEM8095,Aisle-1,Toys,2
ORDER0036,103.0,ITEM15453,Aisle-3,Apparel,8
ORDER0036,103.0,ITEM15540,Aisle-4,Apparel,11
ORDER0036,103.0,ITEM16226,Aisle-8,Home,23
ORDER0036,103.0,ITEM18653,Aisle-12,Home,35
ORDER0036,103.0,ITEM2363,Aisle-14,Electronics,41
ORDER0036,103.0,ITEM9550,Aisle-16,Groceries,47
ORDER0037,104.79,ITEM12294,Aisle-1,Apparel,2
ORDER0038,118.47,ITEM1780,Aisle-2,Toys,5
ORDER0038,118.47,ITEM0879,Aisle-5,Groceries,14
ORDER0038,118.47,ITEM6404,Aisle-10,Apparel,29
ORDER0038,118.47,ITEM17535,Aisle-15,Home,44
ORDER0039,123.97,ITEM16338,Aisle-7,Tools,20
ORDER0039,123.97,ITEM13519,Aisle-20,Toys,59
ORDER0040,130.79,ITEM18997,Aisle-1,Groceries,2
ORDER0040,130.79,ITEM12015,Aisle-6,Toys,17
ORDER0040,130.79,ITEM5645,Aisle-17,Tools,50
ORDER0040,130.79,ITEM10567,Aisle-19,Home,56
ORDER0041,130.95,ITEM14015,Aisle-6,Toys,17
ORDER0041,130.95,ITEM5431,Aisle-7,Groceries,20
ORDER0041,130.95,ITEM0536,Aisle-11,Groceries,32
ORDER0041,130.95,ITEM4866,Aisle-14,Apparel,41
ORDER0041,130.95,ITEM7269,Aisle-17,Tools,50
ORDER0041,130.95,ITEM16837,Aisle-19,Books,56
ORDER0041,130.95,ITEM13127,Aisle-20,Books,59
ORDER0042,135.56,ITEM7649,Aisle-2,Apparel,5
ORDER0042,135.56,ITEM12291,Aisle-3,Tools,8
ORDER0042,135.56,ITEM8878,Aisle-4,Toys,11
ORDER0042,135.56,ITEM0886,Aisle-7,Tools,20
ORDER0042,135.56,ITEM17395,Aisle-12,Home,35
ORDER0042,135.56,ITEM19338,Aisle-15,Groceries,44
ORDER0042,135.56,ITEM0871,Aisle-18,Electronics,53
ORDER0043,137.44,ITEM0783,Aisle-2,Apparel,5
ORDER0043,137.44,ITEM12642,Aisle-3,Toys,8
ORDER0043,137.44,ITEM18250,Aisle-6,Tools,17
ORDER0043,137.44,ITEM1451,Aisle-10,Books,29
ORDER0043,137.44,ITEM17221,Aisle-15,Home,44
ORDER0043,137.44,ITEM8070,Aisle-16,Tools,47
ORDER0043,137.44,ITEM6102,Aisle-20,Groceries,59
ORDER0044,143.44,ITEM17267,Aisle-6,Groceries,17
ORDER0044,143.44,ITEM6038,Aisle-16,Home,47
ORDER0044,143.44,ITEM10727,Aisle-19,Books,56
ORDER0044,143.44,ITEM16722,Aisle-19,Home,56
ORDER0044,143.44,ITEM19217,Aisle-20,Apparel,59
ORDER0045,143.5,ITEM2092,Aisle-17,Books,50
ORDER0045,143.5,ITEM16043,Aisle-18,Groceries,53
ORDER0046,143.72,ITEM1313,Aisle-1,Toys,2
ORDER0046,143.72,ITEM18607,Aisle-7,Electronics,20
ORDER0046,143.72,ITEM6216,Aisle-9,Toys,26
ORDER0046,143.72,ITEM17628,Aisle-11,Tools,32
ORDER0046,143.72,ITEM12107,Aisle-14,Groceries,41
ORDER0047,147.7,ITEM2862,Aisle-3,Apparel,8
ORDER0047,147.7,ITEM9064,Aisle-9,Tools,26
ORDER0047,147.7,ITEM15875,Aisle-15,Books,44
ORDER0047,147.7,ITEM5918,Aisle-19,Electronics,56
ORDER0048,149.35,ITEM0550,Aisle-6,Toys,17
ORDER0048,149.35,ITEM14384,Aisle-9,Toys,26
ORDER0048,149.35,ITEM10171,Aisle-16,Electronics,47
ORDER0049,154.46,ITEM12737,Aisle-3,Electronics,8
ORDER0049,154.46,ITEM3479,Aisle-14,Apparel,41
ORDER0049,154.46,ITEM9977,Aisle-17,Tools,50
ORDER0049,154.46,ITEM2189,Aisle-17,Books,50
ORDER0050,156.54,ITEM14373,Aisle-4,Tools,11
ORDER0050,156.54,ITEM17844,Aisle-18,Groceries,53
ORDER0050,156.54,ITEM10446,Aisle-18,Toys,53
ORDER0051,157.59,ITEM5869,Aisle-3,Home,8
ORDER0051,157.59,ITEM12198,Aisle-4,Books,11
ORDER0051,157.59,ITEM16778,Aisle-7,Electronics,20
ORDER0051,157.59,ITEM2786,Aisle-19,Groceries,56
ORDER0052,158.36,ITEM2354,Aisle-2,Toys,5
ORDER0052,158.36,ITEM11496,Aisle-13,Apparel,38
ORDER0052,158.36,ITEM12752,Aisle-14,Tools,41
ORDER0052,158.36,ITEM5256,Aisle-14,Books,41
ORDER0052,158.36,ITEM12145,Aisle-18,Tools,53
ORDER0053,160.5,ITEM2930,Aisle-3,Electronics,8
ORDER0053,160.5,ITEM2139,Aisle-4,Electronics,11
ORDER0053,160.5,ITEM5669,Aisle-12,Electronics,35
ORDER0053,160.5,ITEM14984,Aisle-16,Home,47
ORDER0053,160.5,ITEM8660,Aisle-17,Groceries,50
ORDER0053,160.5,ITEM5215,Aisle-19,Home,56
ORDER0054,160.84,ITEM0474,Aisle-3,Electronics,8
ORDER0054,160.84,ITEM10596,Aisle-3,Apparel,8
ORDER0054,160.84,ITEM10097,Aisle-6,Home,17
ORDER0054,160.84,ITEM10257,Aisle-7,Toys,20
ORDER0054,160.84,ITEM10336,Aisle-9,Books,26
ORDER0055,164.39,ITEM6388,Aisle-2,Electronics,5
ORDER0055,164.39,ITEM0515,Aisle-11,Groceries,32
ORDER0056,174.61,ITEM3879,Aisle-7,Apparel,20
ORDER0056,174.61,ITEM1722,Aisle-9,Apparel,26
ORDER0056,174.61,ITEM0515,Aisle-11,Groceries,32
ORDER0056,174.61,ITEM13888,Aisle-15,Groceries,44
ORDER0056,174.61,ITEM4891,Aisle-15,Toys,44
ORDER0057,178.93,ITEM8971,Aisle-2,Tools,5
ORDER0057,178.93,ITEM9025,Aisle-8,Apparel,23
ORDER0057,178.93,ITEM17241,Aisle-18,Tools,53
ORDER0058,180.92,ITEM11334,Aisle-1,Tools,2
ORDER0058,180.92,ITEM5512,Aisle-12,Tools,35
ORDER0058,180.92,ITEM17371,Aisle-16,Home,47
ORDER0058,180.92,ITEM15479,Aisle-18,Electronics,53
ORDER0059,187.0,ITEM8274,Aisle-1,Tools,2
ORDER0059,187.0,ITEM13244,Aisle-16,Groceries,47
ORDER0059,187.0,ITEM15855,Aisle-17,Tools,50
ORDER0059,187.0,ITEM18763,Aisle-17,Home,50
ORDER0059,187.0,ITEM17444,Aisle-18,Home,53
ORDER0059,187.0,ITEM8926,Aisle-19,Books,56
ORDER0060,187.96,ITEM5287,Aisle-8,Books,23
ORDER0060,187.96,ITEM17121,Aisle-8,Tools,23
ORDER0060,187.96,ITEM8060,Aisle-13,Groceries,38
ORDER0060,187.96,ITEM9040,Aisle-14,Tools,41
ORDER0060,187.96,ITEM0836,Aisle-17,Apparel,50
ORDER0061,188.72,ITEM10534,Aisle-3,Apparel,8
ORDER0061,188.72,ITEM6334,Aisle-4,Books,11
ORDER0061,188.72,ITEM1738,Aisle-18,Groceries,53
ORDER0062,195.98,ITEM8218,Aisle-10,Electronics,29
ORDER0062,195.98,ITEM9293,Aisle-11,Electronics,32
ORDER0062,195.98,ITEM9577,Aisle-14,Apparel,41
ORDER0062,195.98,ITEM9222,Aisle-20,Groceries,59
ORDER0063,196.24,ITEM2208,Aisle-2,Toys,5
ORDER0063,196.24,ITEM9369,Aisle-3,Books,8
ORDER0063,196.24,ITEM3031,Aisle-3,Apparel,8
ORDER0063,196.24,ITEM10007,Aisle-6,Apparel,17
ORDER0063,196.24,ITEM8662,Aisle-10,Toys,29
ORDER0063,196.24,ITEM8867,Aisle-13,Toys,38
ORDER0063,196.24,ITEM18767,Aisle-17,Groceries,50
ORDER0063,196.24,ITEM13271,Aisle-18,Home,53
ORDER0063,196.24,ITEM5116,Aisle-20,Home,59
ORDER0064,198.23,ITEM13588,Aisle-3,Groceries,8
ORDER0064,198.23,ITEM17934,Aisle-4,Apparel,11
ORDER0064,198.23,ITEM0401,Aisle-5,Toys,14
ORDER0064,198.23,ITEM12244,Aisle-5,Electronics,14
ORDER0064,198.23,ITEM19660,Aisle-5,Tools,14
ORDER0064,198.23,ITEM14751,Aisle-8,Groceries,23
ORDER0064,198.23,ITEM12248,Aisle-12,Books,35
ORDER0064,198.23,ITEM13760,Aisle-15,Apparel,44
ORDER0064,198.23,ITEM17844,Aisle-18,Groceries,53
ORDER0064,198.23,ITEM7657,Aisle-18,Electronics,53
ORDER0065,203.98,ITEM2011,Aisle-2,Electronics,5
ORDER0065,203.98,ITEM6642,Aisle-9,Books,26
ORDER0065,203.98,ITEM9708,Aisle-10,Toys,29
ORDER0065,203.98,ITEM1242,Aisle-12,Apparel,35
ORDER0065,203.98,ITEM7248,Aisle-18,Apparel,53
ORDER0066,207.02,ITEM2888,Aisle-1,Books,2
ORDER0066,207.02,ITEM12102,Aisle-15,Apparel,44
ORDER0066,207.02,ITEM16224,Aisle-16,Home,47
ORDER0066,207.02,ITEM5672,Aisle-18,Home,53
ORDER0066,207.02,ITEM0696,Aisle-20,Apparel,59
ORDER0066,207.02,ITEM13798,Aisle-20,Electronics,59
ORDER0067,207.64,ITEM16709,Aisle-1,Groceries,2
ORDER0067,207.64,ITEM18392,Aisle-19,Apparel,56
ORDER0067,207.64,ITEM18556,Aisle-20,Books,59
ORDER0068,207.92,ITEM3922,Aisle-7,Tools,20
ORDER0068,207.92,ITEM14986,Aisle-7,Groceries,20
ORDER0068,207.92,ITEM1566,Aisle-11,Tools,32
ORDER0068,207.92,ITEM13262,Aisle-13,Apparel,38
ORDER0068,207.92,ITEM15475,Aisle-20,Tools,59
ORDER0069,210.02,ITEM18027,Aisle-1,Books,2
ORDER0069,210.02,ITEM14123,Aisle-3,Toys,8
ORDER0069,210.02,ITEM12714,Aisle-8,Toys,23
ORDER0069,210.02,ITEM3006,Aisle-14,Toys,41
ORDER0069,210.02,ITEM14816,Aisle-15,Electronics,44
ORDER0069,210.02,ITEM2699,Aisle-16,Groceries,47
ORDER0069,210.02,ITEM18604,Aisle-18,Apparel,53
ORDER0069,210.02,ITEM0534,Aisle-19,Groceries,56
ORDER0069,210.02,ITEM8990,Aisle-19,Tools,56
ORDER0069,210.02,ITEM2847,Aisle-20,Apparel,59
ORDER0069,210.02,ITEM8862,Aisle-20,Books,59
ORDER0070,218.13,ITEM17610,Aisle-1,Books,2
ORDER0070,218.13,ITEM12613,Aisle-1,Books,2
ORDER0070,218.13,ITEM5016,Aisle-6,Groceries,17
ORDER0070,218.13,ITEM2832,Aisle-6,Books,17
ORDER0070,218.13,ITEM6546,Aisle-6,Tools,17
ORDER0070,218.13,ITEM1116,Aisle-7,Electronics,20
ORDER0070,218.13,ITEM15417,Aisle-10,Apparel,29
ORDER0070,218.13,ITEM11616,Aisle-11,Apparel,32
ORDER0070,218.13,ITEM12144,Aisle-15,Home,44
ORDER0070,218.13,ITEM13266,Aisle-18,Groceries,53
ORDER0071,233.51,ITEM19243,Aisle-6,Tools,17
ORDER0071,233.51,ITEM2850,Aisle-11,Apparel,32
ORDER0072,233.76,ITEM16745,Aisle-14,Books,41
ORDER0072,233.76,ITEM5211,Aisle-14,Electronics,41
ORDER0072,233.76,ITEM17033,Aisle-17,Home,50
ORDER0073,233.82,ITEM15905,Aisle-4,Electronics,11
ORDER0073,233.82,ITEM9479,Aisle-6,Books,17
ORDER0073,233.82,ITEM8835,Aisle-6,Electronics,17
ORDER0073,233.82,ITEM6772,Aisle-12,Groceries,35
ORDER0073,233.82,ITEM6034,Aisle-20,Books,59
ORDER0073,233.82,ITEM8853,Aisle-20,Books,59
ORDER0074,234.07,ITEM16133,Aisle-3,Groceries,8
ORDER0074,234.07,ITEM8018,Aisle-4,Groceries,11
ORDER0074,234.07,ITEM2893,Aisle-16,Groceries,47
ORDER0074,234.07,ITEM17162,Aisle-20,Home,59
ORDER0075,234.11,ITEM5251,Aisle-15,Books,44
ORDER0075,234.11,ITEM7328,Aisle-18,Electronics,53
ORDER0075,234.11,ITEM0854,Aisle-18,Home,53
ORDER0075,234.11,ITEM2683,Aisle-20,Apparel,59
ORDER0076,236.2,ITEM5721,Aisle-2,Electronics,5
ORDER0076,236.2,ITEM8080,Aisle-4,Tools,11
ORDER0076,236.2,ITEM2873,Aisle-6,Apparel,17
ORDER0076,236.2,ITEM8273,Aisle-9,Electronics,26
ORDER0076,236.2,ITEM10685,Aisle-10,Home,29
ORDER0076,236.2,ITEM4850,Aisle-16,Toys,47
ORDER0076,236.2,ITEM4221,Aisle-19,Home,56
ORDER0076,236.2,ITEM8806,Aisle-20,Electronics,59
ORDER0077,240.12,ITEM5612,Aisle-7,Home,20
ORDER0077,240.12,ITEM11508,Aisle-9,Books,26
ORDER0077,240.12,ITEM19125,Aisle-11,Groceries,32
ORDER0078,244.37,ITEM16188,Aisle-9,Apparel,26
ORDER0078,244.37,ITEM0241,Aisle-12,Toys,35
ORDER0078,244.37,ITEM2659,Aisle-19,Toys,56
ORDER0078,244.37,ITEM2686,Aisle-19,Groceries,56
ORDER0079,245.92,ITEM18205,Aisle-2,Electronics,5
ORDER0079,245.92,ITEM4836,Aisle-2,Home,5
ORDER0079,245.92,ITEM11554,Aisle-3,Books,8
ORDER0079,245.92,ITEM2973,Aisle-6,Groceries,17
ORDER0079,245.92,ITEM2390,Aisle-13,Toys,38
ORDER0079,245.92,ITEM3664,Aisle-13,Apparel,38
ORDER0079,245.92,ITEM6565,Aisle-14,Groceries,41
ORDER0080,247.26,ITEM2732,Aisle-1,Books,2
ORDER0080,247.26,ITEM9799,Aisle-6,Electronics,17
ORDER0080,247.26,ITEM7960,Aisle-7,Groceries,20
ORDER0080,247.26,ITEM9178,Aisle-10,Electronics,29
ORDER0080,247.26,ITEM4777,Aisle-13,Home,38
ORDER0080,247.26,ITEM2484,Aisle-18,Tools,53
ORDER0080,247.26,ITEM11953,Aisle-19,Books,56
ORDER0080,247.26,ITEM5281,Aisle-20,Toys,59
ORDER0081,249.45,ITEM2234,Aisle-4,Books,11
ORDER0081,249.45,ITEM14995,Aisle-5,Groceries,14
ORDER0081,249.45,ITEM7933,Aisle-5,Toys,14
ORDER0081,249.45,ITEM17773,Aisle-6,Tools,17
ORDER0081,249.45,ITEM6107,Aisle-10,Toys,29
ORDER0082,249.65,ITEM6966,Aisle-2,Electronics,5
ORDER0082,249.65,ITEM8253,Aisle-4,Tools,11
ORDER0082,249.65,ITEM15662,Aisle-14,Home,41
ORDER0083,250.42,ITEM9551,Aisle-1,Tools,2
ORDER0083,250.42,ITEM7162,Aisle-7,Apparel,20
ORDER0084,251.47,ITEM2749,Aisle-3,Books,8
ORDER0084,251.47,ITEM11400,Aisle-8,Toys,23
ORDER0084,251.47,ITEM16292,Aisle-9,Home,26
ORDER0084,251.47,ITEM16694,Aisle-11,Books,32
ORDER0084,251.47,ITEM11467,Aisle-12,Electronics,35
ORDER0084,251.47,ITEM13627,Aisle-13,Books,38
ORDER0085,258.09,ITEM11357,Aisle-3,Books,8
ORDER0085,258.09,ITEM15716,Aisle-5,Home,14
ORDER0085,258.09,ITEM14601,Aisle-8,Books,23
ORDER0086,258.15,ITEM9961,Aisle-4,Tools,11
ORDER0086,258.15,ITEM4856,Aisle-4,Tools,11
ORDER0086,258.15,ITEM3128,Aisle-5,Apparel,14
ORDER0086,258.15,ITEM14646,Aisle-7,Toys,20
ORDER0086,258.15,ITEM12659,Aisle-8,Electronics,23
ORDER0086,258.15,ITEM0748,Aisle-19,Home,56
ORDER0086,258.15,ITEM4967,Aisle-19,Apparel,56
ORDER0087,263.68,ITEM14206,Aisle-15,Apparel,44
ORDER0087,263.68,ITEM9492,Aisle-19,Toys,56
ORDER0088,267.88,ITEM15569,Aisle-4,Toys,11
ORDER0088,267.88,ITEM5028,Aisle-6,Books,17
ORDER0088,267.88,ITEM15823,Aisle-6,Groceries,17
ORDER0088,267.88,ITEM14997,Aisle-13,Tools,38
ORDER0089,272.97,ITEM2912,Aisle-6,Tools,17
ORDER0089,272.97,ITEM10450,Aisle-13,Groceries,38
ORDER0089,272.97,ITEM7558,Aisle-14,Electronics,41
ORDER0090,280.66,ITEM11347,Aisle-6,Apparel,17
ORDER0090,280.66,ITEM9493,Aisle-9,Groceries,26
ORDER0090,280.66,ITEM2702,Aisle-11,Tools,32
ORDER0090,280.66,ITEM3659,Aisle-13,Groceries,38
ORDER0090,280.66,ITEM17713,Aisle-16,Toys,47
ORDER0091,281.59,ITEM8540,Aisle-4,Tools,11
ORDER0091,281.59,ITEM16884,Aisle-5,Books,14
ORDER0091,281.59,ITEM0194,Aisle-8,Books,23
ORDER0091,281.59,ITEM15107,Aisle-8,Apparel,23
ORDER0091,281.59,ITEM17279,Aisle-9,Tools,26
ORDER0091,281.59,ITEM9439,Aisle-10,Apparel,29
ORDER0091,281.59,ITEM10927,Aisle-10,Electronics,29
ORDER0091,281.59,ITEM7859,Aisle-14,Tools,41
ORDER0091,281.59,ITEM7002,Aisle-19,Toys,56
ORDER0092,281.86,ITEM16500,Aisle-1,Toys,2
ORDER0092,281.86,ITEM13944,Aisle-3,Tools,8
