ItemID,ItemName,Category,Aisle
ITEM0228,Product_1333,Tools,Aisle-5
ITEM0229,Product_4908,Apparel,Aisle-16
ITEM0230,Product_2874,Tools,Aisle-7
ITEM0231,Product_8619,Toys,Aisle-9
ITEM0232,Product_7043,Apparel,Aisle-20
ITEM0233,Product_2876,Groceries,Aisle-6
ITEM0234,Product_6096,Electronics,Aisle-19
ITEM0235,Product_1420,Books,Aisle-19
ITEM0236,Product_7149,Home,Aisle-7
ITEM0237,Product_2245,Tools,Aisle-8
ITEM0238,Product_2669,Toys,Aisle-10
ITEM0239,Product_2983,Groceries,Aisle-19
ITEM0240,Product_1672,Books,Aisle-18
ITEM0241,Product_8018,Toys,Aisle-12
ITEM0242,Product_2129,Tools,Aisle-11
ITEM0243,Product_1207,Groceries,Aisle-14
ITEM0244,Product_9031,Electronics,Aisle-14
ITEM0245,Product_6934,Toys,Aisle-15
ITEM0246,Product_3506,Home,Aisle-6
ITEM0247,Product_9548,Toys,Aisle-9
ITEM0248,Product_9817,Groceries,Aisle-16
ITEM0249,Product_8616,Home,Aisle-19
ITEM0250,Product_5397,Books,Aisle-8
ITEM0251,Product_2419,Books,Aisle-15
ITEM0252,Product_4995,Groceries,Aisle-15
ITEM0253,Product_7209,Books,Aisle-1
ITEM0254,Product_9098,Groceries,Aisle-11
ITEM0255,Product_3979,Home,Aisle-7
ITEM0256,Product_6813,Groceries,Aisle-9
ITEM0257,Product_6576,Books,Aisle-20
ITEM0258,Product_5526,Tools,Aisle-1
ITEM0259,Product_9464,Apparel,Aisle-3
ITEM0260,Product_4954,Toys,Aisle-14
ITEM0261,Product_9004,Tools,Aisle-8
ITEM0262,Product_8800,Toys,Aisle-16
ITEM0263,Product_8342,Groceries,Aisle-1
ITEM0264,Product_2524,Books,Aisle-8
ITEM0265,Product_7625,Toys,Aisle-8
ITEM0266,Product_6016,Toys,Aisle-19
ITEM0267,Product_7046,Home,Aisle-18
ITEM0268,Product_9698,Books,Aisle-14
ITEM0269,Product_6419,Books,Aisle-15
ITEM0270,Product_5438,Books,Aisle-9
ITEM0271,Product_4777,Electronics,Aisle-7
ITEM0272,Product_6169,Electronics,Aisle-18
ITEM0273,Product_4033,Apparel,Aisle-7
ITEM0274,Product_8933,Books,Aisle-19
ITEM0275,Product_9595,Tools,Aisle-10
ITEM0276,Product_2647,Groceries,Aisle-7
ITEM0277,Product_5853,Apparel,Aisle-12
ITEM0278,Product_3939,Books,Aisle-1
ITEM0279,Product_9751,Apparel,Aisle-9
ITEM0280,Product_1745,Electronics,Aisle-18
ITEM0281,Product_5786,Toys,Aisle-5
ITEM0282,Product_9042,Electronics,Aisle-1
ITEM0283,Product_5658,Home,Aisle-16
ITEM0284,Product_8216,Books,Aisle-6
ITEM0285,Product_1841,Books,Aisle-16
ITEM0286,Product_2869,Groceries,Aisle-3
ITEM0287,Product_7565,Home,Aisle-3
ITEM0288,Product_1878,Apparel,Aisle-5
ITEM0289,Product_5978,Electronics,Aisle-8
ITEM0290,Product_2940,Tools,Aisle-14
ITEM0291,Product_4697,Groceries,Aisle-17
ITEM0292,Product_7232,Home,Aisle-15
ITEM0293,Product_5871,Groceries,Aisle-19
ITEM0294,Product_8025,Books,Aisle-19
ITEM0295,Product_1986,Tools,Aisle-4
ITEM0296,Product_4404,Toys,Aisle-7
ITEM0297,Product_5335,Toys,Aisle-3
ITEM0298,Product_3573,Apparel,Aisle-6
ITEM0299,Product_2229,Apparel,Aisle-1
ITEM0300,Product_7693,Home,Aisle-20
ITEM0301,Product_8699,Books,Aisle-2
ITEM0302,Product_4792,Books,Aisle-10
ITEM0303,Product_8438,Electronics,Aisle-8
ITEM0304,Product_5334,Groceries,Aisle-19
ITEM0305,Product_4241,Home,Aisle-4
ITEM0306,Product_9922,Apparel,Aisle-5
ITEM0307,Product_5352,Groceries,Aisle-5
ITEM0308,Product_2169,Electronics,Aisle-6
ITEM0309,Product_6039,Tools,Aisle-19
ITEM0310,Product_5728,Home,Aisle-4
ITEM0311,Product_8679,Toys,Aisle-10
ITEM0312,Product_7594,Books,Aisle-17
ITEM0313,Product_9847,Home,Aisle-15
ITEM0314,Product_2317,Tools,Aisle-2
ITEM0315,Product_8078,Toys,Aisle-11
ITEM0316,Product_5102,Electronics,Aisle-3
ITEM0317,Product_4750,Toys,Aisle-19
ITEM0318,Product_1339,Groceries,Aisle-9
ITEM0319,Product_1659,Groceries,Aisle-6
ITEM0320,Product_8708,Tools,Aisle-15
ITEM0321,Product_5557,Apparel,Aisle-19
ITEM0322,Product_8141,Toys,Aisle-16
ITEM0323,Product_2494,Home,Aisle-12
ITEM0324,Product_7690,Books,Aisle-11
ITEM0325,Product_2713,Groceries,Aisle-6
ITEM0326,Product_6403,Home,Aisle-16
ITEM0327,Product_5722,Toys,Aisle-13
ITEM0328,Product_1601,Home,Aisle-3
ITEM0329,Product_6153,Books,Aisle-11
ITEM0330,Product_2899,Groceries,Aisle-13
ITEM0331,Product_9431,Groceries,Aisle-1
ITEM0332,Product_9889,Home,Aisle-14
ITEM0333,Product_1888,Apparel,Aisle-17
ITEM0334,Product_6927,Tools,Aisle-16
ITEM0335,Product_8242,Groceries,Aisle-2
ITEM0336,Product_4335,Books,Aisle-18
ITEM0337,Product_3146,Books,Aisle-15
ITEM0338,Product_8941,Electronics,Aisle-1
ITEM0339,Product_4920,Toys,Aisle-6
ITEM0340,Product_6091,Tools,Aisle-1
ITEM0341,Product_7684,Electronics,Aisle-8
ITEM0342,Product_2858,Home,Aisle-4
ITEM0343,Product_3522,Home,Aisle-10
ITEM0344,Product_9337,Toys,Aisle-9
ITEM0345,Product_7807,Groceries,Aisle-16
ITEM0346,Product_8736,Apparel,Aisle-15
ITEM0347,Product_3369,Home,Aisle-7
ITEM0348,Product_9327,Toys,Aisle-5
ITEM0349,Product_2143,Books,Aisle-14
ITEM0350,Product_6568,Groceries,Aisle-17
ITEM0351,Product_5377,Groceries,Aisle-1
ITEM0352,Product_5634,Toys,Aisle-10
ITEM0353,Product_9022,Groceries,Aisle-5
ITEM0354,Product_8316,Tools,Aisle-16
ITEM0355,Product_6654,Books,Aisle-18
ITEM0356,Product_9903,Home,Aisle-15
ITEM0357,Product_6272,Groceries,Aisle-7
ITEM0358,Product_4912,Tools,Aisle-13
ITEM0359,Product_4826,Groceries,Aisle-14
ITEM0360,Product_1715,Books,Aisle-16
ITEM0361,Product_7246,Home,Aisle-5
ITEM0362,Product_9115,Electronics,Aisle-5
ITEM0363,Product_9229,Tools,Aisle-11
ITEM0364,Product_2644,Groceries,Aisle-15
ITEM0365,Product_2633,Tools,Aisle-15
ITEM0366,Product_1251,Toys,Aisle-5
ITEM0367,Product_7717,Groceries,Aisle-5
ITEM0368,Product_2225,Home,Aisle-9
ITEM0369,Product_6546,Tools,Aisle-13
ITEM0370,Product_2315,Groceries,Aisle-11
ITEM0371,Product_9742,Home,Aisle-11
ITEM0372,Product_8994,Groceries,Aisle-18
ITEM0373,Product_1588,Tools,Aisle-3
ITEM0374,Product_4846,Toys,Aisle-10
ITEM0375,Product_4727,Toys,Aisle-3
ITEM0376,Product_8110,Electronics,Aisle-4
ITEM0377,Product_8269,Apparel,Aisle-10
ITEM0378,Product_1474,Electronics,Aisle-11
ITEM0379,Product_1919,Books,Aisle-12
ITEM0380,Product_7141,Home,Aisle-5
ITEM0381,Product_5000,Tools,Aisle-14
ITEM0382,Product_3950,Apparel,Aisle-6
ITEM0383,Product_2293,Tools,Aisle-13
ITEM0384,Product_4945,Home,Aisle-19
ITEM0385,Product_3344,Apparel,Aisle-15
ITEM0386,Product_5161,Home,Aisle-9
ITEM0387,Product_1153,Groceries,Aisle-15
ITEM0388,Product_5712,Toys,Aisle-18
ITEM0389,Product_3588,Electronics,Aisle-15
ITEM0390,Product_6661,Tools,Aisle-10
ITEM0391,Product_7951,Toys,Aisle-9
ITEM0392,Product_8484,Groceries,Aisle-10
ITEM0393,Product_4263,Home,Aisle-16
ITEM0394,Product_2747,Apparel,Aisle-13
ITEM0395,Product_6881,Tools,Aisle-10
ITEM0396,Product_5837,Electronics,Aisle-13
ITEM0397,Product_5497,Electronics,Aisle-19
ITEM0398,Product_1803,Tools,Aisle-16
ITEM0399,Product_5689,Groceries,Aisle-8
ITEM0400,Product_6772,Apparel,Aisle-7
ITEM0401,Product_5106,Toys,Aisle-5
ITEM0402,Product_2591,Toys,Aisle-2
ITEM0403,Product_6061,Groceries,Aisle-15
ITEM0404,Product_1546,Tools,Aisle-12
ITEM0405,Product_3153,Electronics,Aisle-10
ITEM0406,Product_6352,Toys,Aisle-14
ITEM0407,Product_3877,Apparel,Aisle-5
ITEM0408,Product_9837,Books,Aisle-17
ITEM0409,Product_9221,Books,Aisle-6
ITEM0410,Product_5210,Groceries,Aisle-16
ITEM0411,Product_5835,Toys,Aisle-11
ITEM0412,Product_2886,Home,Aisle-3
ITEM0413,Product_3306,Groceries,Aisle-8
ITEM0414,Product_7511,Groceries,Aisle-18
ITEM0415,Product_6992,Electronics,Aisle-13
ITEM0416,Product_1228,Books,Aisle-18
ITEM0417,Product_3024,Home,Aisle-12
ITEM0418,Product_5295,Tools,Aisle-13
ITEM0419,Product_7086,Electronics,Aisle-8
ITEM0420,Product_8724,Electronics,Aisle-20
ITEM0421,Product_6374,Tools,Aisle-8
ITEM0422,Product_2035,Toys,Aisle-15
ITEM0423,Product_5951,Toys,Aisle-14
ITEM0424,Product_2911,Apparel,Aisle-2
ITEM0425,Product_1609,Books,Aisle-16
ITEM0426,Product_2902,Electronics,Aisle-8
ITEM0427,Product_9807,Apparel,Aisle-13
ITEM0428,Product_8432,Books,Aisle-18
ITEM0429,Product_7866,Tools,Aisle-5
ITEM0430,Product_7797,Toys,Aisle-4
ITEM0431,Product_9017,Tools,Aisle-14
ITEM0432,Product_5583,Electronics,Aisle-12
ITEM0433,Product_4559,Home,Aisle-15
ITEM0434,Product_4868,Groceries,Aisle-12
ITEM0435,Product_2627,Toys,Aisle-12
ITEM0436,Product_9920,Toys,Aisle-12
ITEM0437,Product_1992,Home,Aisle-9
ITEM0438,Product_4109,Electronics,Aisle-15
ITEM0439,Product_2501,Toys,Aisle-7
ITEM0440,Product_1349,Electronics,Aisle-11
ITEM0441,Product_4990,Apparel,Aisle-19
ITEM0442,Product_4362,Electronics,Aisle-18
ITEM0443,Product_4394,Tools,Aisle-7
ITEM0444,Product_4817,Books,Aisle-5
ITEM0445,Product_1046,Books,Aisle-5
ITEM0446,Product_3129,Tools,Aisle-9
ITEM0447,Product_3858,Electronics,Aisle-1
ITEM0448,Product_3159,Electronics,Aisle-12
ITEM0449,Product_4898,Tools,Aisle-11
ITEM0450,Product_1258,Apparel,Aisle-9
ITEM0451,Product_1858,Apparel,Aisle-14
ITEM0452,Product_9619,Electronics,Aisle-3
ITEM0453,Product_8802,Home,Aisle-12
ITEM0454,Product_9408,Tools,Aisle-4
ITEM0455,Product_8405,Tools,Aisle-8
ITEM0456,Product_1710,Toys,Aisle-17
ITEM0457,Product_5941,Home,Aisle-1
ITEM0458,Product_1996,Home,Aisle-13
ITEM0459,Product_7984,Toys,Aisle-4
ITEM0460,Product_9032,Toys,Aisle-15
ITEM0461,Product_2204,Electronics,Aisle-11
ITEM0462,Product_3430,Electronics,Aisle-5
ITEM0463,Product_5505,Tools,Aisle-19
ITEM0464,Product_9984,Toys,Aisle-11
ITEM0465,Product_7240,Tools,Aisle-17
ITEM0466,Product_5831,Home,Aisle-17
ITEM0467,Product_8048,Electronics,Aisle-4
ITEM0468,Product_4522,Home,Aisle-15
ITEM0469,Product_4743,Home,Aisle-11
ITEM0470,Product_8430,Home,Aisle-14
ITEM0471,Product_2557,Books,Aisle-14
ITEM0472,Product_6120,Toys,Aisle-9
ITEM0473,Product_7132,Apparel,Aisle-16
ITEM0474,Product_2099,Electronics,Aisle-3
ITEM0475,Product_2527,Home,Aisle-4
ITEM0476,Product_7105,Groceries,Aisle-5
ITEM0477,Product_1982,Tools,Aisle-18
ITEM0478,Product_6400,Toys,Aisle-4
ITEM0479,Product_7730,Books,Aisle-14
ITEM0480,Product_1842,Books,Aisle-20
ITEM0481,Product_6119,Books,Aisle-4
ITEM0482,Product_9313,Apparel,Aisle-5
ITEM0483,Product_8900,Apparel,Aisle-4
ITEM0484,Product_6736,Groceries,Aisle-18
ITEM0485,Product_7022,Electronics,Aisle-9
ITEM0486,Product_4705,Groceries,Aisle-14
ITEM0487,Product_1430,Tools,Aisle-9
ITEM0488,Product_1474,Apparel,Aisle-9
ITEM0489,Product_6062,Books,Aisle-12
ITEM0490,Product_1100,Apparel,Aisle-5
ITEM0491,Product_7566,Electronics,Aisle-5
ITEM0492,Product_1502,Electronics,Aisle-17
ITEM0493,Product_4524,Home,Aisle-14
ITEM0494,Product_8432,Books,Aisle-6
ITEM0495,Product_7062,Books,Aisle-11
ITEM0496,Product_2391,Electronics,Aisle-5
ITEM0497,Product_3579,Groceries,Aisle-20
ITEM0498,Product_1815,Toys,Aisle-3
ITEM0499,Product_5458,Home,Aisle-14
ITEM0500,Product_8957,Tools,Aisle-15
ITEM0501,Product_7785,Books,Aisle-7
ITEM0502,Product_9394,Electronics,Aisle-12
ITEM0503,Product_8043,Electronics,Aisle-10
ITEM0504,Product_8972,Tools,Aisle-10
ITEM0505,Product_1744,Apparel,Aisle-13
ITEM0506,Product_1897,Electronics,Aisle-7
ITEM0507,Product_5938,Apparel,Aisle-5
ITEM0508,Product_5186,Books,Aisle-11
ITEM0509,Product_2965,Electronics,Aisle-16
ITEM0510,Product_8055,Apparel,Aisle-5
ITEM0511,Product_7229,Tools,Aisle-8
ITEM0512,Product_9196,Tools,Aisle-12
ITEM0513,Product_2180,Home,Aisle-2
ITEM0514,Product_8147,Electronics,Aisle-15
ITEM0515,Product_2275,Groceries,Aisle-11
ITEM0516,Product_8033,Tools,Aisle-13
ITEM0517,Product_7843,Books,Aisle-4
ITEM0518,Product_7636,Electronics,Aisle-11
ITEM0519,Product_3815,Groceries,Aisle-20
ITEM0520,Product_8538,Groceries,Aisle-12
ITEM0521,Product_2443,Home,Aisle-4
ITEM0522,Product_4986,Home,Aisle-19
ITEM0523,Product_7560,Tools,Aisle-3
ITEM0524,Product_7484,Groceries,Aisle-10
ITEM0525,Product_6562,Apparel,Aisle-11
ITEM0526,Product_3754,Electronics,Aisle-17
ITEM0527,Product_2868,Tools,Aisle-17
ITEM0528,Product_4176,Groceries,Aisle-12
ITEM0529,Product_6752,Toys,Aisle-5
ITEM0530,Product_4871,Electronics,Aisle-5
ITEM0531,Product_5193,Apparel,Aisle-6
ITEM0532,Product_3504,Groceries,Aisle-3
ITEM0533,Product_3902,Groceries,Aisle-16
ITEM0534,Product_8601,Groceries,Aisle-19
ITEM0535,Product_8354,Toys,Aisle-19
ITEM0536,Product_6295,Groceries,Aisle-11
ITEM0537,Product_3473,Home,Aisle-3
ITEM0538,Product_8682,Home,Aisle-10
ITEM0539,Product_5500,Tools,Aisle-2
ITEM0540,Product_6766,Tools,Aisle-3
ITEM0541,Product_6085,Home,Aisle-15
ITEM0542,Product_1616,Electronics,Aisle-12
ITEM0543,Product_5703,Electronics,Aisle-3
ITEM0544,Product_9307,Home,Aisle-15
ITEM0545,Product_1672,Home,Aisle-19
ITEM0546,Product_4084,Books,Aisle-20
ITEM0547,Product_8792,Tools,Aisle-5
ITEM0548,Product_2013,Home,Aisle-4
ITEM0549,Product_6626,Toys,Aisle-3
ITEM0550,Product_9266,Toys,Aisle-6
ITEM0551,Product_1641,Apparel,Aisle-15
ITEM0552,Product_8199,Tools,Aisle-17
ITEM0553,Product_3600,Books,Aisle-12
ITEM0554,Product_5634,Home,Aisle-14
ITEM0555,Product_6543,Toys,Aisle-20
ITEM0556,Product_1857,Groceries,Aisle-11
ITEM0557,Product_2079,Books,Aisle-4
ITEM0558,Product_7333,Books,Aisle-9
ITEM0559,Product_3463,Books,Aisle-3
ITEM0560,Product_3317,Books,Aisle-10
ITEM0561,Product_7421,Apparel,Aisle-20
ITEM0562,Product_2388,Books,Aisle-18
ITEM0563,Product_7171,Toys,Aisle-11
ITEM0564,Product_3093,Toys,Aisle-17
ITEM0565,Product_2531,Toys,Aisle-14
ITEM0566,Product_9331,Books,Aisle-1
ITEM0567,Product_6940,Books,Aisle-6
ITEM0568,Product_4509,Books,Aisle-16
ITEM0569,Product_4145,Apparel,Aisle-5
ITEM0570,Product_3538,Electronics,Aisle-10
ITEM0571,Product_2657,Tools,Aisle-18
ITEM0572,Product_9626,Electronics,Aisle-11
ITEM0573,Product_3147,Tools,Aisle-13
ITEM0574,Product_3527,Apparel,Aisle-6
ITEM0575,Product_3712,Toys,Aisle-15
ITEM0576,Product_1715,Home,Aisle-12
ITEM0577,Product_4891,Home,Aisle-20
ITEM0578,Product_5668,Groceries,Aisle-15
ITEM0579,Product_4833,Tools,Aisle-8
